customer_id,policy_id,claim_id,age,gender,province,monthly_income,join_date,policy_type,premium_amount,policy_status,claim_date,claim_amount,claim_status,fraud_flag,customer_id_status,claim_id_status
CUST1019,POL5019,CLM9019,31,Female,Free State,37514.37,2022-11-02,Funeral,607.27,Active,2025-06-13,19114.6,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1020,POL5020,CLM9020,30,Female,Gauteng,26393.69,2020-07-30,Life,649.93,Active,2024-03-13,52289.67,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1021,POL5021,CLM9021,62,Male,North West,42454.51,2021-06-30,Auto,818.22,Active,2024-08-07,25359.02,Approved,Yes,Valid Customer ID,Valid Claim ID
CUST1022,POL5022,CLM9022,36,Female,Limpopo,10531.04,2020-06-30,Home,1658.83,Lapsed,2024-04-09,14221.9,Approved,No,Valid Customer ID,Valid Claim ID
CUST1023,POL5023,CLM9023,41,Female,Free State,19597,2025-03-06,Health,1868.81,Active,2025-10-23,29064.27,Approved,No,Valid Customer ID,Valid Claim ID
CUST1024,POL5024,CLM9024,42,Female,KwaZulu-Natal,19282.21,2024-01-28,Auto,1277.16,Active,2025-03-08,11417,Approved,No,Valid Customer ID,Valid Claim ID
CUST1025,POL5025,CLM9025,29,Male,KwaZulu-Natal,20157,2020-05-27,Health,2466.22,Lapsed,2024-02-21,16376.78,Approved,No,Valid Customer ID,Valid Claim ID
CUST1026,POL5026,CLM9026,48,Male,KwaZulu-Natal,39389.13,2022-08-01,Funeral,388.9,Lapsed,2025-05-12,26554.32,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1027,POL5027,CLM9027,27,Male,Western Cape,11001.36,2023-08-05,Health,2575,Cancelled,2025-04-10,12606.44,Approved,No,Valid Customer ID,Valid Claim ID
CUST1028,POL5028,CLM9028,29,Female,Western Cape,23500.6,2025-02-05,Auto,1494.53,Active,2025-07-09,13184.04,Approved,No,Valid Customer ID,Valid Claim ID
CUST1029,POL5029,CLM9029,31,Male,Gauteng,25012,2024-01-16,Life,1164.41,Active,2024-06-10,39804.14,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1030,POL5030,CLM9030,44,Male,Western Cape,null,2024-05-18,Auto,1311.93,Active,2025-02-17,18119.63,Rejected,Unknown,Valid Customer ID,Valid Claim ID
CUST1031,POL5031,CLM9031,54,Male,Gauteng,41429.79,2023-08-12,Life,1168,Active,2025-06-19,34210.93,Approved,No,Valid Customer ID,Valid Claim ID
CUST1032,POL5032,CLM9032,30,Unknown,North West,30105.51,2022-03-13,Auto,null,Active,2024-11-03,22673.23,Approved,No,Valid Customer ID,Valid Claim ID
CUST1033,POL5033,CLM9033,20,Male,Gauteng,46954.21,2021-02-09,Health,2842.69,Cancelled,2024-03-16,8399.48,Pending,No,Valid Customer ID,Valid Claim ID
CUST1034,POL5034,CLM9034,40,Female,Western Cape,35202.14,2023-05-11,Funeral,389.88,Lapsed,2025-01-13,14405.11,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1035,POL5035,CLM9035,61,Female,Gauteng,52575,2023-06-16,Life,1111.34,Active,2024-04-16,13342.69,Pending,No,Valid Customer ID,Valid Claim ID
CUST1036,POL5036,CLM9036,36,Male,Western Cape,38045.59,2020-08-20,Auto,1875.82,Active,2024-07-27,17472.3,Approved,Unknown,Valid Customer ID,Valid Claim ID
CUST1037,POL5037,CLM9037,24,Female,Eastern Cape,37375.42,2023-04-28,Auto,1478.31,Cancelled,2025-10-11,27073.85,Approved,No,Valid Customer ID,Valid Claim ID
CUST1039,POL5039,CLM9039,33,Female,Gauteng,19938.54,2021-04-11,Auto,1253.73,Cancelled,2024-06-01,15634.16,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1040,POL5040,CLM9040,37,Male,Free State,null,2022-01-09,Auto,787.74,Active,2024-02-10,7725.29,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1041,POL5041,CLM9041,39,Male,KwaZulu-Natal,15942.02,2024-10-16,Health,2423.35,Active,2025-09-27,19409.42,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1042,POL5042,CLM9042,31,Male,Western Cape,21180.24,2022-12-25,Funeral,382.45,Lapsed,2024-01-26,18532.35,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1043,POL5043,CLM9043,44,Female,Free State,14314.23,2023-10-10,Home,1844.51,Lapsed,2024-09-30,6469.49,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1044,POL5044,CLM9044,41,Male,Free State,15339.57,2023-04-01,Funeral,271.78,Lapsed,2025-04-16,10539,Approved,Yes,Valid Customer ID,Valid Claim ID
CUST1045,POL5045,CLM9045,48,Unknown,Limpopo,12184.1,2022-07-20,Auto,1535.43,Active,2024-03-12,16071.07,Approved,No,Valid Customer ID,Valid Claim ID
CUST1046,POL5046,CLM9046,51,Female,North West,31561.89,2021-02-28,Funeral,397.33,Active,2024-07-01,12043.86,Pending,No,Valid Customer ID,Valid Claim ID
CUST1047,POL5047,CLM9047,52,Female,Gauteng,22286.94,2022-05-09,Auto,636.66,Active,2024-11-17,33926.15,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1048,POL5048,CLM9048,41,Male,Free State,38792.11,2025-02-17,Funeral,425.93,Active,2025-03-22,8900.93,Approved,No,Valid Customer ID,Valid Claim ID
CUST1049,POL5049,CLM9049,48,Male,North West,16014.83,2023-11-28,Health,1813.41,Cancelled,2025-09-30,9841,Pending,No,Valid Customer ID,Valid Claim ID
CUST1050,POL5050,CLM9050,47,Male,Mpumalanga,15089.69,2024-03-19,Life,1053,Active,2025-12-14,71928.8,Approved,No,Valid Customer ID,Valid Claim ID
CUST1051,POL5051,CLM9051,42,Male,Free State,12243.15,2020-12-15,Life,977.35,Active,2024-06-27,53486.43,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1052,POL5052,CLM9052,56,Female,Gauteng,20842.98,2021-12-13,Health,2024.53,Active,2025-09-13,10735.94,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1053,POL5053,CLM9053,48,Female,Eastern Cape,29026.45,2020-09-12,Life,866.05,Active,2024-06-22,40090.98,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1054,POL5054,CLM9054,36,Female,KwaZulu-Natal,37746.89,2023-06-08,Home,1102.06,Active,2024-08-18,28377.02,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1055,POL5055,CLM9055,32,Female,KwaZulu-Natal,20343.97,2023-09-20,Health,1773.95,Lapsed,2025-12-14,500,Approved,No,Valid Customer ID,Valid Claim ID
CUST1056,POL5056,CLM9056,35,Male,Western Cape,22799.83,2021-11-01,Life,672.36,Active,2024-04-19,24677.07,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1057,POL5057,CLM9057,25,Female,Gauteng,37981.98,2021-09-08,Life,1127.74,Cancelled,2024-05-16,56086.84,Approved,No,Valid Customer ID,Valid Claim ID
CUST1058,POL5058,CLM9058,42,Female,Eastern Cape,10484.41,2022-12-15,Life,819.32,Active,2025-07-15,55908.18,Approved,No,Valid Customer ID,Valid Claim ID
CUST1059,POL5059,CLM9059,18,Female,Eastern Cape,51750.39,2022-08-30,Auto,1423.86,Active,2025-06-17,28481.37,Approved,No,Valid Customer ID,Valid Claim ID
CUST1060,POL5060,CLM9060,42,Female,Eastern Cape,null,2021-10-14,Auto,878.14,Active,2024-11-23,21302.03,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1061,POL5061,CLM9061,43,Female,Western Cape,4163.83,2022-10-29,Home,2042.21,Active,2025-07-09,18502.18,Approved,No,Valid Customer ID,Valid Claim ID
CUST1062,POL5062,CLM9062,44,Male,Free State,17839.59,2020-09-29,Health,1646.77,Active,2024-01-21,4193.01,Pending,No,Valid Customer ID,Valid Claim ID
CUST1063,POL5063,CLM9063,44,Male,North West,30587.71,2022-01-28,Health,2520.19,Active,2025-03-05,21194.19,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1064,POL5064,CLM9064,32,Male,Eastern Cape,53374.28,2021-02-10,Auto,1597.71,Active,2024-12-10,3082.87,Approved,No,Valid Customer ID,Valid Claim ID
CUST1065,POL5065,CLM9065,40,Female,Unknown,9305.18,2025-04-06,Home,2086.35,Cancelled,2025-06-30,31155.42,Pending,No,Valid Customer ID,Valid Claim ID
CUST1066,POL5066,CLM9066,41,Male,KwaZulu-Natal,10125.52,2022-08-08,Life,940,Active,2024-02-21,35711.19,Approved,No,Valid Customer ID,Valid Claim ID
CUST1067,POL5067,CLM9067,34,Male,Eastern Cape,23671.59,2023-09-08,Health,1812.75,Active,2025-03-07,23575.82,Approved,No,Valid Customer ID,Valid Claim ID
CUST1068,POL5068,CLM9068,41,Female,Gauteng,40454.83,2020-11-25,Home,2234.21,Active,2024-08-17,44954.87,Pending,Yes,Valid Customer ID,Valid Claim ID
CUST1069,POL5069,CLM9069,34,Male,Gauteng,24055.02,2023-01-04,Funeral,345.84,Active,2024-06-05,12716.07,Approved,Yes,Valid Customer ID,Valid Claim ID
CUST1070,POL5070,CLM9070,38,Male,Eastern Cape,null,2024-12-23,Life,991.61,Active,2025-09-13,35442.05,Approved,No,Valid Customer ID,Valid Claim ID
CUST1072,POL5072,CLM9072,32,Male,KwaZulu-Natal,22572.18,2024-03-07,Life,1114.64,Lapsed,2025-12-14,31843.26,Approved,No,Valid Customer ID,Valid Claim ID
CUST1073,POL5073,CLM9073,33,Male,Gauteng,31133.03,2021-09-15,Health,2813.04,Active,2025-06-02,17455.13,Approved,No,Valid Customer ID,Valid Claim ID
CUST1074,POL5074,CLM9074,45,Female,Eastern Cape,43521.85,2024-05-07,Auto,1637.17,Cancelled,2025-04-15,24162.74,Approved,No,Valid Customer ID,Valid Claim ID
CUST1075,POL5075,CLM9075,43,Female,Eastern Cape,22493.26,2023-06-13,Health,2867.07,Lapsed,2024-11-26,17163.87,Approved,No,Valid Customer ID,Valid Claim ID
CUST1076,POL5076,CLM9076,41,Male,Mpumalanga,50084,2021-11-18,Funeral,296.43,Active,2025-09-16,9799.28,Approved,No,Valid Customer ID,Valid Claim ID
CUST1077,POL5077,CLM9077,52,Male,Eastern Cape,6675.38,2022-09-25,Funeral,283.38,Active,2024-09-21,10987.67,Approved,No,Valid Customer ID,Valid Claim ID
CUST1078,POL5078,CLM9078,27,Female,Gauteng,37916.99,2022-04-27,Life,629.92,Active,2025-02-20,25738.47,Approved,No,Valid Customer ID,Valid Claim ID
CUST1079,POL5079,CLM9079,38,Male,Eastern Cape,31406.75,2022-07-13,Life,637.12,Active,2024-04-05,53221.56,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1080,POL5080,CLM9080,46,Male,Mpumalanga,46608.14,2022-07-01,Life,927.57,Active,2024-12-18,19246.05,Approved,No,Valid Customer ID,Valid Claim ID
CUST1081,POL5081,CLM9081,48,Female,North West,18863.26,2023-03-06,Home,509.25,Active,2024-05-03,14396.29,Approved,No,Valid Customer ID,Valid Claim ID
CUST1082,POL5082,CLM9082,38,Male,Limpopo,11782.89,2022-01-16,Auto,1876.19,Active,2025-06-21,500,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1083,POL5083,CLM9083,58,Male,Limpopo,36971.8,2022-11-29,Health,2443.55,Active,2025-12-26,17585.79,Approved,No,Valid Customer ID,Valid Claim ID
CUST1084,POL5084,CLM9084,50,Male,Gauteng,20506.71,2024-09-19,Life,1469,Active,2025-05-17,null,Approved,No,Valid Customer ID,Valid Claim ID
CUST1085,POL5085,CLM9085,44,Female,Eastern Cape,19968.2,2021-12-12,Health,3385.36,Active,2024-09-15,16908.14,Pending,No,Valid Customer ID,Valid Claim ID
CUST1086,POL5086,CLM9086,43,Male,Free State,37060.74,2023-07-05,Health,3044.39,Active,2024-06-04,25471.42,Approved,No,Valid Customer ID,Valid Claim ID
CUST1087,POL5087,CLM9087,37,Female,KwaZulu-Natal,40371.24,2022-04-11,Funeral,274.93,Active,2025-09-12,9970.26,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1088,POL5088,CLM9088,38,Male,Free State,44418.21,2023-05-30,Health,1877.63,Active,2025-03-15,9100.47,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1089,POL5089,CLM9089,33,Male,KwaZulu-Natal,32851.05,2025-04-25,Funeral,469.55,Active,2025-11-07,19101.33,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1090,POL5090,CLM9090,35,Male,Western Cape,23110.39,2024-07-21,Auto,1237.43,Active,2024-10-25,20268,Approved,No,Valid Customer ID,Valid Claim ID
CUST1091,POL5091,CLM9091,47,Female,Eastern Cape,null,2022-05-14,Auto,1606.42,Active,2025-10-02,21291.64,Approved,No,Valid Customer ID,Valid Claim ID
CUST1092,POL5092,CLM9092,51,Male,Free State,13441.32,2023-11-13,Auto,1564.47,Active,2024-09-29,20065.61,Approved,No,Valid Customer ID,Valid Claim ID
CUST1093,POL5093,CLM9093,65,Male,Mpumalanga,27193.34,2024-06-14,Life,1226.38,Lapsed,2025-03-25,24366,Pending,No,Valid Customer ID,Valid Claim ID
CUST1094,POL5094,CLM9094,38,Female,Free State,32602.67,2020-10-16,Funeral,320.7,Active,2024-03-23,18207.04,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1095,POL5095,CLM9095,35,Female,Mpumalanga,47259.9,2022-03-29,Auto,1297.48,Active,2025-08-12,4319.52,Approved,No,Valid Customer ID,Valid Claim ID
CUST1096,POL5096,CLM9096,31,Female,Gauteng,9476.74,2023-08-07,Home,2613.6,Active,2025-03-28,9325.13,Approved,No,Valid Customer ID,Valid Claim ID
CUST1097,POL5097,CLM9097,50,Female,Eastern Cape,62156.53,2021-01-22,Funeral,441.07,Active,2024-11-24,12315.95,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1098,POL5098,CLM9098,20,Female,Eastern Cape,26623.25,2025-04-03,Health,1437.85,Cancelled,2025-07-17,4082.97,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1099,POL5099,CLM9099,45,Female,Mpumalanga,14443.18,2025-05-09,Health,1299.58,Cancelled,2025-06-10,11842.9,Approved,No,Valid Customer ID,Valid Claim ID
CUST1100,POL5100,CLM9100,40,Female,Free State,21988.32,2021-10-23,Auto,1392.8,Active,2025-05-25,11702.44,Approved,No,Valid Customer ID,Valid Claim ID
CUST1101,POL5101,CLM9101,31,Male,Limpopo,40528.94,2023-02-28,Auto,1246.77,Active,2025-12-16,38378.92,Approved,Yes,Valid Customer ID,Valid Claim ID
CUST1102,POL5102,CLM9102,36,Male,Western Cape,26182.51,2023-11-30,Health,2011.8,Active,2024-08-18,11293.74,Approved,No,Valid Customer ID,Valid Claim ID
CUST1103,POL5103,CLM9103,57,Male,Western Cape,20249.76,2022-05-10,Health,3077.04,Active,2024-10-06,6805.78,Approved,No,Valid Customer ID,Valid Claim ID
CUST1104,POL5104,CLM9104,41,Female,Limpopo,6217.46,2022-10-01,Health,2600,Active,2025-09-05,25380.58,Approved,No,Valid Customer ID,Valid Claim ID
CUST1105,POL5105,CLM9105,45,Male,KwaZulu-Natal,29064.08,2023-11-04,Auto,1538.56,Lapsed,2025-06-03,9412.88,Approved,No,Valid Customer ID,Valid Claim ID
CUST1106,POL5106,CLM9106,26,Female,Mpumalanga,23570.28,2021-10-31,Home,1776.99,Active,2024-06-01,34497.3,Approved,No,Valid Customer ID,Valid Claim ID
CUST1107,POL5107,CLM9107,30,Female,North West,9362.74,2023-10-06,Life,674.16,Active,2024-11-25,60092.83,Approved,No,Valid Customer ID,Valid Claim ID
CUST1108,POL5108,CLM9108,49,Male,Free State,23936.16,2023-02-09,Auto,1443.59,Active,2025-04-29,10820.42,Approved,No,Valid Customer ID,Valid Claim ID
CUST1109,POL5109,CLM9109,50,Male,Eastern Cape,34645.78,2024-04-14,Funeral,351.24,Active,2024-12-05,12878.17,Pending,No,Valid Customer ID,Valid Claim ID
CUST1110,POL5110,CLM9110,39,Female,KwaZulu-Natal,35415.7,2021-05-25,Life,966.12,Active,2025-02-23,55798.72,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1111,POL5111,CLM9111,36,Male,Eastern Cape,48870.17,2021-05-23,Home,1463.89,Active,2025-02-11,31243.26,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1112,POL5112,CLM9112,49,Female,North West,7211.43,2025-03-27,Life,608.28,Lapsed,2025-07-08,58664.79,Approved,No,Valid Customer ID,Valid Claim ID
CUST1113,POL5113,CLM9113,32,Male,Mpumalanga,33485.26,2020-08-22,Funeral,364.35,Active,2024-04-10,8400.39,Approved,No,Valid Customer ID,Valid Claim ID
CUST1114,POL5114,CLM9114,34,Male,Eastern Cape,15612.76,2024-07-07,Auto,1289.47,Active,2024-11-28,16011.43,Approved,No,Valid Customer ID,Valid Claim ID
CUST1115,POL5115,CLM9115,46,Female,Free State,21169.24,2023-06-21,Auto,2105.06,Active,2024-07-03,32834.36,Approved,No,Valid Customer ID,Valid Claim ID
CUST1116,POL5116,CLM9116,61,Female,Limpopo,29911.49,2024-04-13,Health,2211,Active,2025-10-15,3624.71,Approved,No,Valid Customer ID,Valid Claim ID
CUST1117,POL5117,CLM9117,49,Male,Eastern Cape,17404.87,2023-03-22,Funeral,509.38,Active,2025-03-28,19567.04,Approved,No,Valid Customer ID,Valid Claim ID
CUST1118,POL5118,CLM9118,39,Female,Free State,31760.29,2022-04-15,Life,1084.57,Active,2025-01-28,9605.58,Approved,Unknown,Valid Customer ID,Valid Claim ID
CUST1119,POL5119,CLM9119,36,Female,North West,24124.61,2023-07-19,Life,1165.12,Cancelled,2025-11-05,73932.22,Approved,Yes,Valid Customer ID,Valid Claim ID
CUST1120,POL5120,CLM9120,46,Male,Eastern Cape,44428.63,2021-02-27,Home,1306.89,Cancelled,2024-08-23,29706,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1121,POL5121,CLM9121,41,Male,Limpopo,64423.56,2021-12-13,Life,1138,Active,2025-11-06,22962.63,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1122,POL5122,CLM9122,32,Male,Gauteng,36240.1,2023-10-13,Health,2336.8,Active,2024-05-14,10927.86,Approved,No,Valid Customer ID,Valid Claim ID
CUST1123,POL5123,CLM9123,37,Female,Free State,33873.45,2021-12-19,Auto,1039.38,Active,2025-01-09,14203.46,Approved,No,Valid Customer ID,Valid Claim ID
CUST1124,POL5124,CLM9124,22,Female,Western Cape,45676.18,2022-11-06,Auto,1156.85,Lapsed,2024-10-29,37057.88,Approved,No,Valid Customer ID,Valid Claim ID
CUST1125,POL5125,CLM9125,47,Female,KwaZulu-Natal,20283.4,2023-08-01,Auto,1063.63,Cancelled,2025-11-21,27075.4,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1126,POL5126,CLM9126,31,Female,KwaZulu-Natal,3500,2023-02-16,Home,1883.87,Active,2025-04-10,23282.19,Approved,No,Valid Customer ID,Valid Claim ID
CUST1127,POL5127,CLM9127,34,Female,Free State,43242.48,2021-12-06,Home,1096.17,Cancelled,2024-08-27,20407.56,Approved,Yes,Valid Customer ID,Valid Claim ID
CUST1128,POL5128,CLM9128,44,Female,Limpopo,20542.19,2024-03-10,Life,943.12,Active,2025-12-18,53437.94,Approved,No,Valid Customer ID,Valid Claim ID
CUST1129,POL5129,CLM9129,47,Male,Western Cape,45177.07,2023-09-12,Auto,1314.95,Active,2024-04-28,21489.97,Pending,No,Valid Customer ID,Valid Claim ID
CUST1130,POL5130,CLM9130,38,Male,Free State,17539.04,2023-01-31,Health,2630.43,Active,2025-07-07,500,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1131,POL5131,CLM9131,42,Male,Free State,9007.85,2024-07-08,Life,546.22,Lapsed,2024-10-13,65675.47,Approved,No,Valid Customer ID,Valid Claim ID
CUST1132,POL5132,CLM9132,43,Male,Eastern Cape,37703.48,2023-10-13,Health,1879.78,Active,2025-12-03,15492.48,Approved,No,Valid Customer ID,Valid Claim ID
CUST1133,POL5133,CLM9133,45,Female,Gauteng,56804.94,2024-09-05,Health,1663.2,Active,2025-04-10,8138.05,Approved,No,Valid Customer ID,Valid Claim ID
CUST1134,POL5134,CLM9134,42,Male,Gauteng,24467.05,2024-05-08,Home,1564.97,Active,2025-08-01,20883.71,Approved,Yes,Valid Customer ID,Valid Claim ID
CUST1135,POL5135,CLM9135,40,Male,Limpopo,7864.11,2025-07-29,Home,2086.02,Active,2025-09-02,31816.79,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1136,POL5136,CLM9136,31,Male,Western Cape,42419.45,2023-04-03,Life,711.22,Lapsed,2024-01-27,70419.97,Approved,Yes,Valid Customer ID,Valid Claim ID
CUST1137,POL5137,CLM9137,27,Male,North West,33996.3,2022-02-24,Auto,1284.5,Active,2025-03-07,21095.07,Approved,No,Valid Customer ID,Valid Claim ID
CUST1138,POL5138,CLM9138,40,Male,Eastern Cape,46446.37,2022-05-12,Health,2783.93,Active,2025-04-07,0,Approved,No,Valid Customer ID,Valid Claim ID
CUST1139,POL5139,CLM9139,48,Male,Mpumalanga,35654.27,2023-01-04,Health,1879.91,Cancelled,2025-05-05,21737.27,Approved,No,Valid Customer ID,Valid Claim ID
CUST1140,POL5140,CLM9140,43,Male,Eastern Cape,27661.26,2021-05-30,Home,2134.46,Active,2024-11-25,33040.33,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1141,POL5141,CLM9141,48,Male,Mpumalanga,9156.28,2021-08-21,Life,699.92,Active,2025-01-25,53805.37,Approved,No,Valid Customer ID,Valid Claim ID
CUST1142,POL5142,CLM9142,43,Female,Free State,24622.39,2022-08-26,Auto,1585.4,Active,2025-10-28,16856.38,Rejected,Unknown,Valid Customer ID,Valid Claim ID
CUST1143,POL5143,CLM9143,42,Male,Free State,null,2022-12-15,Health,1838.71,Active,2025-04-09,4516.49,Approved,No,Valid Customer ID,Valid Claim ID
CUST1144,POL5144,CLM9144,43,Male,North West,53734.57,2020-06-30,Health,1890.41,Active,2024-06-05,3570.54,Approved,No,Valid Customer ID,Valid Claim ID
CUST1145,POL5145,CLM9145,37,Male,KwaZulu-Natal,25636.5,2024-03-26,Home,1707.27,Active,2025-01-16,500,Approved,No,Valid Customer ID,Valid Claim ID
CUST1146,POL5146,CLM9146,31,Female,KwaZulu-Natal,3500,2024-10-25,Health,2924.2,Lapsed,2025-03-09,25119.72,Pending,No,Valid Customer ID,Valid Claim ID
CUST1147,POL5147,CLM9147,36,Female,North West,16194.55,2024-01-05,Auto,2109.83,Active,2025-05-08,34102.98,Approved,No,Valid Customer ID,Valid Claim ID
CUST1148,POL5148,CLM9148,32,Female,North West,27481.48,2021-12-23,Auto,1199.74,Active,2025-03-15,25220.53,Approved,No,Valid Customer ID,Valid Claim ID
CUST1149,POL5149,CLM9149,42,Male,Mpumalanga,46766.31,2022-11-26,Auto,693.69,Active,2024-12-13,10856.29,Rejected,Yes,Valid Customer ID,Valid Claim ID
CUST1150,POL5150,CLM9150,59,Female,KwaZulu-Natal,27150.75,2024-03-14,Auto,1102.06,Active,2025-06-27,22832.89,Approved,No,Valid Customer ID,Valid Claim ID
CUST1151,POL5151,CLM9151,56,Female,North West,40555.75,2022-03-02,Auto,1256.01,Active,2025-08-04,8621.79,Approved,No,Valid Customer ID,Valid Claim ID
CUST1152,POL5152,CLM9152,40,Male,Unknown,34187.17,2022-03-13,Auto,968.36,Active,2024-10-05,20215.55,Approved,No,Valid Customer ID,Valid Claim ID
CUST1153,POL5153,CLM9153,26,Female,Eastern Cape,29519.84,2022-06-23,Health,1975,Active,2024-12-19,13278.85,Approved,No,Valid Customer ID,Valid Claim ID
CUST1154,POL5154,CLM9154,49,Female,Mpumalanga,33980.72,2022-10-17,Auto,1124,Active,2024-01-08,11629.11,Approved,No,Valid Customer ID,Valid Claim ID
CUST1155,POL5155,CLM9155,37,Male,Western Cape,39351.32,2022-11-25,Home,851.88,Active,2025-05-24,12731.54,Approved,No,Valid Customer ID,Valid Claim ID
CUST1156,POL5156,CLM9156,35,Female,Limpopo,38915.25,2021-11-22,Life,809.46,Lapsed,2024-03-14,74080.49,Rejected,No,Valid Customer ID,Valid Claim ID
CUST1157,POL5157,CLM9157,38,Male,Free State,31922.26,2023-02-15,Auto,1066.64,Cancelled,2025-08-12,18061.01,Rejected,No,Valid Customer ID,Valid Claim ID
