Customer_ID,Age,Gender,Province,Monthly_Income,Join_Date,Policy_ID,Policy_Type,Premium_Amount,Policy_Status,Claim_ID,Claim_Date,Claim_Amount,Claim_Status,Fraud_Flag
CUST1013,59,Female,Gauteng,"34,633.66",2021-01-27,POL5013,Life,R 706.33,Active,CLM9013,2024-09-30,52430.06,Rejected,No
CUST1014,36,Female,Free State,17447.69,2021-11-06,POL5014,Auto,1038.67,Active,CLM9014,2024-09-26,25858.24,Rejected,No
CUST1015,45,,Mpumalanga,15999.79,2024-01-23,POL5015,Home,1921,Active,CLM9015,2025-01-17,"R 20,641.82",Approved,No
CUST1016,41,Male,North West,10559.66,09/06/2023,POL5016,Health,2331.19,Active,CLM9016,2024-11-10,14862.3,Approved,No
CUST1017,23,Male,KwaZulu-Natal,14870.45,2024-09-15,POL5017,Home,"R 3,333.73",Lapsed,CLM9017,2025-06-29,22216.77,Pending,Yes
CUST1018,30,Male,Mpumalanga,24684.54,2021-07-25,POL5018,life ,1528.66,Active,CLM9018,2025-07-06,64601.11,Pending,No
CUST1019,31,Female,Free State,"37,514.37",2022-11-02,POL5019,Funeral,607.27,Active,CLM9019,06-13-2025, 19114.60 ,Rejected,Yes
CUST1020,30,Female,Gauteng,26393.69,2020-07-30,POL5020,Life,649.93,Active,CLM9020,2024-03-13, 52289.67 ,Rejected,Yes
CUST1021,62,Male,North West, 42454.51 ,2021-06-30,POL5021,Auto,818.22,Active,CLM9021,07/08/2024,25359.02,Approved,Yes
CUST1022,36,Female,Limpopo,10531.04,2020-06-30,POL5022,Home,1658.83,Lapsed,CLM9022,09-Apr-2024,14221.9,Approved,NO
CUST1023,41,Female,Free State,19597,2025-03-06,POL5023,Health,1868.81,Active,CLM9023,2025-10-23,29064.27,Approved,No
CUST1024,42,Female,KwaZulu Natal,19282.21,2024-01-28,POL5024,Auto,1277.16,Active,CLM9024,08/03/2025,11417,Approved,No
CUST1025,29,Male,KZN,20157,2020-05-27,POL5025,Health,2466.22,Lapsed,CLM9025,2024-02-21,"16,376.78",Approved,No
CUST1026,48,Male,KwaZulu Natal,39389.13,2022-08-01,POL5026,Funeral,388.9,lapsed,CLM9026,2025-05-12,26554.32,Rejected,Yes
CUST1027,27,Male,Western Cape,11001.36,2023-08-05,POL5027,Health,2575.0,Canceled,CLM9027,2025-04-10,12606.44,Approved,No
CUST1028,29,Female,Western Cape,23500.6,2025/02/05,POL5028,Auto,1494.53,Active,CLM9028,09-Jul-2025,13184.04,Approved,No
CUST1029,31, male ,Gauteng,25012,2024-01-16,POL5029,Life,1164.41,Active,CLM9029,2024-06-10,39804.14,Rejected,No
CUST1030,44,Male,Western Cape,,2024-05-18,POL5030,Auto,1311.93,Active,CLM9030,2025-02-17,18119.63,Rejected,
CUST1031,54,Male,Gauteng,41429.79,2023-08-12,POL5031,Life,1168,Active,CLM9031,2025-06-19,34210.93,Approved,No
CUST1032,30,,North West,30105.51,2022-03-13,POL5032,Motor,,Active,CLM9032,2024/11/03,"22,673.23",Approved,No
CUST1033,20,Male,Gauteng,46954.21,2021-02-09,POL5033,Health,2842.69,Canceled,CLM9033,03-16-2024,8399.48,Pending,No
CUST1034,40,Female,Western Cape,35202.14,11-May-2023,POL5034,Funeral,R 389.88,Lapsed,CLM9034,2025-01-13,"14,405.11",Rejected,Yes
CUST1035,61,Female,Gauteng,52575,2023-06-16,POL5035,Life,1111.34,Active,CLM9035,2024-04-16,"13,342.69",Pending,No
CUST1036,36,Male,Western Cape, 38045.59 ,2020-08-20,POL5036,Auto,1875.82,ACTIVE,CLM9036,2024-07-27,17472.3, Approved ,
CUST1037,24,Female,eastern cape,"37,375.42",2023-04-28,POL5037,Auto,1478.31,Cancelled,CLM9037,2025-10-11,27073.85,approved,No
CUST1038,37, male , GP ,13507,2021-11-23,POL5038,Health,1381.27,Active,CLM9038,2024-06-14,-3500,Pending,N
CUST1039,33,Female, GP ,19938.54,2021-04-11,POL5039,Auto,1253.73,Cancelled,CLM9039,2024/06/01,15634.16,rejected,Yes
CUST1040,37,Male,Free State,,2022-01-09,POL5040,AUTO,787.74,Active,CLM9040,2024-02-10,7725.29,rejected,No
CUST1041,39,Male,KwaZulu-Natal,15942.02,10-16-2024,POL5041,Health,2423.35,Active,CLM9041,2025-09-27,"R 19,409.42",Rejected,No
CUST1042,31,Male,Western Cape,21180.24,12-25-2022,POL5042,Funeral,382.45,Dormant,CLM9042,01-26-2024,"R 18,532.35",REJECTED,No
CUST1043,44,Female,free state,"R 14,314.23",2023-10-10,POL5043,Home,"R 1,844.51",LAPSED,CLM9043,2024-09-30,6469.49,REJECTED,No
CUST1044,41,Male,Free State,15339.57,2023/04/01,POL5044,Funeral,271.78,Lapsed,CLM9044,2025-04-16,10539,APPROVED,Yes
CUST1045,48,,LP,12184.1,2022-07-20,POL5045,Auto,1535.43,Active,CLM9045,2024-03-12,16071.07,Approved,No
CUST1046,51,Female,North West,31561.89,2021-02-28,POL5046,Funeral,397.33,Active,CLM9046,2024-07-01,12043.86, In Review ,No
CUST1047,52,Female,Gauteng,22286.94,2022-05-09,POL5047,auto ,636.66,Active,CLM9047,2024/11/17,33926.15,Rejected,No
CUST1048,41, male ,Free State,38792.11,2025-02-17,POL5048,Funeral,425.93,Active,CLM9048,2025-03-22,8900.93,Approved,No
CUST1049,48,Male,North West,16014.83,2023-11-28,POL5049,Health,1813.41,Cancelled,CLM9049,2025-09-30,"9,841.00",Pending,No
CUST1050,47,Male,Mpumalanga,"R 15,089.69",2024-03-19,POL5050,Life,1053,Active,CLM9050,2025-12-14,71928.8,Approved,No
CUST1051,42,Male,Free State,12243.15,2020-12-15,POL5051,Life,977.35,Active,CLM9051,2024-06-27,53486.43,Rejected,No
CUST1052,56,Female,Gauteng,20842.98,2021-12-13,POL5052,Health,2024.53,Active,CLM9052,2025-09-13,"R 10,735.94",Rejected,No
CUST1053,48, FEMALE ,Eastern Cape,29026.45,2020-09-12,POL5053,Life,866.05,Active,CLM9053,06-22-2024,"40,090.98", Declined ,Yes
CUST1054,36,F,KwaZulu-Natal,37746.89,2023-06-08,POL5054,Home,1102.06,Active,CLM9054,18-Aug-2024,28377.02,Rejected,Yes
CUST1055,32,Female,KwaZulu-Natal,"20,343.97",2023-09-20,POL5055,Health,1773.95,Lapsed,CLM9055,2025-12-14,R 500.00, Approved ,No
CUST1056,35,male,Western Cape,22799.83,01/11/2021,POL5056,LIFE,672.36,Active,CLM9056,2024/04/19,24677.07, Declined ,No
CUST1057,25,Female,Gauteng,37981.98,09-08-2021,POL5057,Life,1127.74,Cancelled,CLM9057,16/05/2024,56086.84,Approved,No
CUST1058,42,Female,Eastern Cape,10484.41,2022-12-15,POL5058,Life,819.32,Active,CLM9058,2025-07-15,55908.18,APPROVED,No
CUST1059,18,Female,Eastern Cape,51750.39,2022-08-30,POL5059,AUTO,1423.86,active,CLM9059,2025-06-17,28481.37,APPROVED,No
CUST1060,42,Female,Eastern Cape,,2021-10-14,POL5060,auto ,878.14,Active,CLM9060,11-23-2024,21302.03,Rejected,Yes
CUST1061,43,Female,Western Cape,4163.83,2022-10-29,POL5061,Home,2042.21,Active,CLM9061,07-09-2025,18502.18,Approved,No
CUST1062,44,Male,Free State,17839.59,2020-09-29,POL5062,Health,1646.77,Active,CLM9062,2024-01-21,4193.01,Pending,No
CUST1063,44,Male,North West,30587.71,2022-01-28,POL5063,Health,"2,520.19",Active,CLM9063,2025-03-05,21194.19,rejected,No
CUST1064,32,Male,Eastern Cape,53374.28,2021-02-10,POL5064,Auto,1597.71,Active,CLM9064,2024-12-10,3082.87,Approved,No
CUST1065,40,Female,,9305.18,2025-04-06,POL5065,Home,2086.35,Cancelled,CLM9065,2025-06-30,31155.42,Pending,No
CUST1066,41,Male,KwaZulu-Natal,10125.52,2022-08-08,POL5066,Life,940,Active,CLM9066,2024-02-21,35711.19,Approved, no 
CUST1067,34,Male,Eastern Cape,"R 23,671.59",09-08-2023,POL5067,Health,1812.75,Active,CLM9067,2025-03-07,23575.82,Approved,No
CUST1068,41,Female,Gauteng,"40,454.83",25/11/2020,POL5068,Home,2234.21,Active,CLM9068,2024-08-17, 44954.87 ,Pending,Yes
CUST1069,34,Male,Gauteng,24055.02,2023-01-04,POL5069,Funeral,345.84,Active,CLM9069,2024-06-05,12716.07,Approved,Yes
CUST1070,38,Male,Eastern Cape,,2024-12-23,POL5070,Life,991.61,Active,CLM9070,2025/09/13,35442.05,Approved,No
CUST1071,31,Male,Mpumalanga,44646.23,2023-09-18,POL5071,Auto,"R 1,847.18",Active,,11-24-2025,24012.85,Approved,No
CUST1072,32,Male,KwaZulu-Natal,22572.18,2024-03-07,POL5072,Life,1114.64,Lapsed,CLM9072,2025-12-14,31843.26,Approved,No
CUST1073,33,Male,Gauteng,31133.03,2021-09-15,POL5073,Health,"2,813.04",Active,CLM9073,2025-06-02,"17,455.13",Approved,No
CUST1074,45,Female,Eastern Cape,43521.85,2024-05-07,POL5074,Auto,1637.17,Cancelled,CLM9074,2025-04-15,"24,162.74",Approved,No
CUST1075,43,Female,Eastern Cape,22493.26,2023-06-13,POL5075,Medical,2867.07,Lapsed,CLM9075,2024-11-26,17163.87,Approved,N
CUST1076,41,Male,Mpumalanga,50084,2021-11-18,POL5076,Funeral,296.43,Active,CLM9076,2025-09-16,9799.28, Approved ,No
CUST1077,52,Male,Eastern Cape,6675.38,2022-09-25,POL5077,Funeral,283.38,ACTIVE,CLM9077,2024-09-21, 10987.67 ,Approved,No
CUST1078,27,Female,Gauteng,37916.99,2022-04-27,POL5078,Life, 629.92 ,Active,CLM9078,2025-02-20,"25,738.47", Approved , no 
CUST1079,38,Male,Eastern Cape,"31,406.75",07-13-2022,POL5079,Life,637.12,Active,CLM9079,2024-04-05,53221.56,Rejected,No
CUST1080,46,Male,Mpumalanga,46608.14,2022-07-01,POL5080,Life,927.57,Active,CLM9080,2024-12-18,"R 19,246.05",APPROVED,No
CUST1081,48,Female,North West, 18863.26 ,2023-03-06,POL5081,Home,509.25,Active,CLM9081,2024-05-03,14396.29,Approved,No
CUST1082,38, male ,Limpopo,11782.89,2022-01-16,POL5082,Auto,1876.19,Active,CLM9082,2025/06/21,500.0, Declined ,No
CUST1083,58,Male,Limpopo,"R 36,971.80",2022/11/29,POL5083,Health,2443.55,Active,CLM9083,2025-12-26,17585.79,Approved,No
CUST1084,50,Male,Gauteng ,20506.71,09-19-2024,POL5084,Life,1469,Active,CLM9084,2025-05-17,,Approved,No
CUST1085,44,Female,Eastern Cape,19968.2,2021-12-12,POL5085,Health,"R 3,385.36",Active,CLM9085,2024-09-15, 16908.14 ,Pending,No
CUST1086,43,Male,Free State,37060.74,2023-07-05,POL5086,Health,3044.39,Active,CLM9086,2024-06-04,"R 25,471.42",Approved,No
CUST1087,37,Female,KwaZulu-Natal,40371.24,2022-04-11,POL5087,Funeral,274.93,Active,CLM9087,2025-09-12,9970.26,Rejected,No
CUST1088,38,Male,FS,44418.21,2023-05-30,POL5088,Health,1877.63,Active,CLM9088,2025-03-15,9100.47,Rejected,No
CUST1089,33,Male,KwaZulu-Natal,"32,851.05",2025-04-25,POL5089,Funeral,469.55,Active,CLM9089,07/11/2025,19101.33,Rejected,Yes
CUST1090,35,M,Western Cape,"23,110.39",21/07/2024,POL5090,Auto,1237.43,Active,CLM9090,2024-10-25,20268,Approved,0
CUST1091,47,Female,Eastern Cape,,2022-05-14,POL5091,Auto,1606.42,Active,CLM9091,2025-10-02,21291.64,Approved,N
CUST1092,51, male ,Free State,13441.32,2023-11-13,POL5092,Auto,"R 1,564.47",Active,CLM9092,2024/09/29,20065.61,Approved,0
CUST1093,65,Male,mpumalanga,27193.34,2024-06-14,POL5093,Life,1226.38,Lapsed,CLM9093,25/03/2025,24366,Pending,No
CUST1094,38,Female,Free State,32602.67,2020-10-16,POL5094,Funeral,320.7,Active,CLM9094,23-Mar-2024,18207.04,Rejected,Yes
CUST1095,35,Female,Mpumalanga,47259.9,2022-03-29,POL5095,Auto,1297.48,Active,CLM9095,2025-08-12,4319.52,Approved,No
CUST1096,31, FEMALE ,Gauteng,9476.74,2023-08-07,POL5096,Home,2613.6,Active,CLM9096,2025-03-28,9325.13,Approved,No
CUST1097,50,Female,Eastern Cape,62156.53,2021-01-22,POL5097,funeral ,441.07,Active,CLM9097,2024-11-24,12315.95,Rejected,Yes
CUST1098,20,Female,eastern cape,"26,623.25",2025-04-03,POL5098,Health,1437.85,Cancelled,CLM9098,2025-07-17,4082.97, Declined ,No
CUST1099,45, FEMALE ,Mpumalanga,14443.18,2025/05/09,POL5099,Health,1299.58,Cancelled,CLM9099,2025-06-10,"R 11,842.90",Approved,No
CUST1100,40,Female,Free State,21988.32,10-23-2021,POL5100,Auto,1392.8,Active,CLM9100,25-May-2025,11702.44,approved,No
CUST1101,31,Male,Limpopo,"R 40,528.94",2023-02-28,POL5101,Auto,1246.77,active,CLM9101,2025-12-16,"R 38,378.92",Approved,Yes
CUST1102,36,Male,western cape,26182.51,2023-11-30,POL5102,Health,2011.8,Active,CLM9102,2024-08-18,11293.74,Approved,N
CUST1103,57,Male,Western Cape,20249.76,2022-05-10,POL5103,Health,3077.04,Active,CLM9103,10-06-2024,6805.78,Approved,N
CUST1104,41,Female,Limpopo,6217.46,01-Oct-2022,POL5104,Health,2600,Active,CLM9104,2025-09-05,25380.58,Approved,No
CUST1105,45,Male,KwaZulu-Natal,29064.08,2023-11-04,POL5105,Auto,1538.56,Lapsed,CLM9105,2025-06-03,9412.88,Approved,No
CUST1106,26,Female,Mpumalanga,23570.28,2021-10-31,POL5106,Home,1776.99,Active,CLM9106,01/06/2024,34497.3,approved,No
CUST1107,30,Female,North West,"9,362.74",2023-10-06,POL5107,Life,R 674.16, Active ,CLM9107,25-Nov-2024,60092.83,Approved,No
CUST1108,49,male,Free State,23936.16,2023-02-09,POL5108,Auto,1443.59,Active,CLM9108,2025/04/29,10820.42,Approved,0
CUST1109,50, male ,Eastern Cape,34645.78,2024-04-14,POL5109,Funeral,351.24,Active,CLM9109,2024-12-05,12878.17,Pending,No
CUST1110,39,Female,KwaZulu-Natal,35415.7,2021-05-25,POL5110,Life,966.12,Active,CLM9110,2025-02-23,55798.72,REJECTED,No
CUST1111,36,Male,Eastern Cape,48870.17,2021-05-23,POL5111,Home,1463.89,Active,CLM9111,2025-02-11,31243.26,Rejected,Yes
CUST1112,49,Female,North West,7211.43,2025-03-27,POL5112,Life,608.28,Lapsed,CLM9112,2025-07-08,"R 58,664.79",Approved,No
CUST1113,32,Male,Mpumalanga,33485.26,2020-08-22,POL5113,Funeral,364.35,Active,CLM9113,2024-04-10,8400.39,Approved,N
CUST1114,34,Male,Eastern Cape,15612.76,2024-07-07,POL5114,auto , 1289.47 ,Active,CLM9114,2024/11/28,16011.43,Approved,No
CUST1115,46,Female,FS, 21169.24 ,2023-06-21,POL5115,Auto,2105.06,Active,CLM9115,07-03-2024,32834.36,Approved,No
CUST1116,61,Female,LP,"R 29,911.49",2024-04-13,POL5116,Health,2211,Active,CLM9116,2025-10-15,3624.71,Approved,No
CUST1117,49,Male,Eastern Cape,17404.87,2023-03-22,POL5117,Funeral,509.38,Active,CLM9117,28/03/2025,19567.04,APPROVED,No
CUST1118,39,female,Free State,31760.29,2022-04-15,POL5118,Life,1084.57,Active,CLM9118,2025-01-28,9605.58,approved,
CUST1119,36,Female,North West,24124.61,2023-07-19,POL5119,Life,1165.12,Cancelled,CLM9119,2025-11-05,73932.22,Approved,Yes
CUST1120,46,Male,EC,44428.63,2021-02-27,POL5120,Home,1306.89,Cancelled,CLM9120,2024-08-23,29706.0,Rejected,N
CUST1121,41,Male,Limpopo,64423.56,2021-12-13,POL5121,Life,1138,Active,CLM9121,2025-11-06,22962.63,REJECTED,0
CUST1122,32,Male,Gauteng,36240.1,2023-10-13,POL5122,Health,2336.8,Active,CLM9122,2024-05-14,10927.86,APPROVED,No
CUST1123,37,Female,FS,33873.45,2021-12-19,POL5123,Auto,1039.38,Active,CLM9123,2025-01-09,14203.46,Approved,No
CUST1124,22, FEMALE ,Western Cape,45676.18,2022-11-06,POL5124,Auto,1156.85,Lapsed,CLM9124,2024-10-29,37057.88,Approved,No
CUST1125,47,Female,KwaZulu-Natal,20283.4,2023-08-01,POL5125,AUTO,1063.63,Cancelled,CLM9125,2025-11-21, 27075.40 ,Rejected,NO
CUST1126,31,Female,KwaZulu-Natal, 3500.00 ,2023-02-16,POL5126,Home,1883.87,Active,CLM9126,04-10-2025,23282.19,Approved,0
CUST1127,34,female,Free State,43242.48,2021-12-06,POL5127,home , 1096.17 ,Cancelled,CLM9127,2024-08-27,20407.56,Approved,Yes
CUST1128,44,Female,Limpopo,20542.19,2024-03-10,POL5128,Life,943.12,Active,CLM9128,18/12/2025,"R 53,437.94",Approved,No
CUST1129,47,Male,Western Cape,45177.07,2023-09-12,POL5129,Motor,1314.95,Active,CLM9129,2024-04-28, 21489.97 ,PENDING,No
CUST1130,38,Male,FS, 17539.04 ,2023-01-31,POL5130,Health,2630.43,Active,CLM9130,2025-07-07,500.0,Rejected,No
CUST1131,42,male,Free State,9007.85,07-08-2024,POL5131,Life,546.22,Lapsed,CLM9131,2024-10-13,65675.47,Approved,No
CUST1132,43,Male,eastern cape,37703.48,2023-10-13,POL5132,Health,1879.78,Active,CLM9132,2025-12-03,15492.48,Approved,No
CUST1133,45,Female,Gauteng,"56,804.94",2024-09-05,POL5133,Health,1663.2,Active,CLM9133,2025-04-10,8138.05,Approved,No
CUST1134,42,Male,Gauteng,24467.05,2024-05-08,POL5134,Home,1564.97,Active,CLM9134,2025-08-01,20883.71,Approved,Yes
CUST1135,40,Male,Limpopo,7864.11,2025-07-29,POL5135,Home,2086.02,Active,CLM9135,2025-09-02,31816.79,Rejected,No
CUST1136,31,Male,Western Cape,42419.45,2023-04-03,POL5136,Life,711.22,Lapsed,CLM9136,2024-01-27,70419.97,Approved,Yes
CUST1137,27,Male,north west,33996.3,2022-02-24,POL5137,Auto,1284.5,Active,CLM9137,2025-03-07,21095.07,Approved,No
CUST1138,40,Male,Eastern Cape,46446.37,2022-05-12,POL5138,health ,2783.93,Active,CLM9138,2025-04-07,0,Approved,No
CUST1139,48,Male,Mpumalanga,35654.27,2023-01-04,POL5139,Health,1879.91,Cancelled,CLM9139,2025-05-05,21737.27,Approved,No
CUST1140,43,Male,eastern cape,"R 27,661.26",30/05/2021,POL5140,HOME,2134.46, Active ,CLM9140,2024-11-25,33040.33,Rejected,No
CUST1141,48,Male,Mpumalanga,9156.28,2021/08/21,POL5141,Life,R 699.92,Active,CLM9141,2025/01/25,53805.37,approved,No
CUST1142,43,Female,Free State,24622.39,2022-08-26,POL5142,Auto,1585.4,Active,CLM9142,2025-10-28,16856.38,Rejected,
CUST1143,42,Male,Free State,,2022/12/15,POL5143,Medical,1838.71,Active,CLM9143,2025-04-09,4516.49,Approved,NO
CUST1144,43,male,North West,53734.57,2020-06-30,POL5144,Health,1890.41,Active,CLM9144,2024-06-05,3570.54,Approved,No
CUST1145,37,Male,KwaZulu-Natal,25636.5,2024-03-26,POL5145,HOME,1707.27,ACTIVE,CLM9145,2025-01-16,500.0,Approved,No
CUST1146,31,Female,KwaZulu-Natal,3500.0,2024-10-25,POL5146,Health,2924.2,Lapsed,CLM9146,2025-03-09,"25,119.72",Pending,No
CUST1147,36,Female,North West, 16194.55 ,2024-01-05,POL5147,Auto,2109.83,ACTIVE,CLM9147,2025-05-08,"34,102.98",Approved,No
CUST1148,32,Female,North West,27481.48,2021-12-23,POL5148,Auto,1199.74,Active,CLM9148,2025-03-15,25220.53,Approved,No
CUST1149,42,Male,MP,46766.31,2022-11-26,POL5149,Auto,693.69,Active,CLM9149,2024-12-13,10856.29, Declined ,Yes
CUST1150,59,Female,KwaZulu-Natal,27150.75,2024-03-14,POL5150,Auto,1102.06,Active,CLM9150,2025-06-27,22832.89,APPROVED,No
CUST1151,56,Female,North West,40555.75,2022-03-02,POL5151,Auto,"R 1,256.01",Active,CLM9151,04-Aug-2025,8621.79,Approved,No
CUST1152,40,Male,,34187.17,2022/03/13,POL5152,Auto,968.36,Active,CLM9152,2024-10-05,20215.55,Approved,No
CUST1153,26,Female,EC,29519.84,23/06/2022,POL5153,Health,1975,ACTIVE,CLM9153,2024-12-19,13278.85,Approved,No
CUST1154,49,Female,Mpumalanga,33980.72,2022-10-17,POL5154,Auto,1124,Active,CLM9154,08/01/2024,11629.11,Approved,No
CUST1155,37,male,Western Cape,39351.32,2022-11-25,POL5155,Home,851.88,Active,CLM9155,2025-05-24, 12731.54 ,Approved,No
CUST1156,35,Female,Limpopo,38915.25,2021-11-22,POL5156,Life,809.46,Lapsed,CLM9156,2024/03/14,74080.49,Rejected,No
CUST1157,38,M,Free State,31922.26,2023/02/15,POL5157,AUTO, 1066.64 ,Cancelled,CLM9157,2025-08-12,18061.01,Rejected,No
CUST1158,36,Female,Mpumalanga,50381.06,2023-01-26,POL5158,Auto,1546.32, Active ,CLM9158,2025-09-24,"R 21,511.60",Approved,No
CUST1159,25,Female,KwaZulu-Natal,30001.2,07-Feb-2022,POL5159,Health,3438.78,Active,CLM9159,2025-02-14,5697.73,Approved,No
CUST1160,18,Female,north west,38470.74,2025-01-20,POL5160,Auto,974.54,Active,CLM9160,2025-10-10, 15282.96 ,Approved,No
CUST1161,33,Male,North West, 26516.72 ,2023-01-04,POL5161,Health,1198.22,Canceled,CLM9161,2024-05-31,14464.4,Rejected,Yes
CUST1162,45,Male,Western Cape,22825.46,2022-11-29,POL5162,Home,1576.87,Active,CLM9162,2025/10/05,18852.06,APPROVED,No
CUST1163,18, FEMALE ,North West,71928.48,2021-06-24,POL5163,Funeral,412.53,Active,CLM9163,2024-03-10,13092.36,APPROVED,No
CUST1164,36,Female,Mpumalanga,43872.78,05/09/2022,POL5164,Life, 1113.98 ,Active,CLM9164,17-Apr-2025,62055.48,Rejected,Yes
CUST1165,28,Female,KwaZulu-Natal,8685.35,2022-09-28,POL5165,Life,1188.28,Cancelled,CLM9165,2025-08-31,52774.61,Approved,No
CUST1166,52,Male,Eastern Cape,37916.25,2022/12/12,POL5166,Funeral,330.43,Active,CLM9166,2025-09-11,12152.23,Approved,No
CUST1167,18,Male,Eastern Cape, 30986.11 ,29-Apr-2021,POL5167,Auto,1350.42,Lapsed,CLM9167,2024-03-27,10754.11,Approved,NO
CUST1168,36,Male,LP,3500.0,2024-09-26,POL5168,Home,1725,Canceled,CLM9168,2025-09-16,47606,Approved,No
CUST1169,41,Female,Free State,21117.09,2022-01-22,POL5169,health ,1515.87,Active,CLM9169,2025-10-08,15139.33,Approved,
CUST1170,31,Female,KwaZulu-Natal, 22270.05 ,2022/05/19,POL5170,Life,744.4,ACTIVE,CLM9170,2025-11-03,47793.43,Approved,No
CUST1171,31,Female,KwaZulu-Natal,23747.84,2021-11-03,POL5171,Life,830.94,Active,CLM9171,2025-11-02,42527.31,Approved,No
CUST1172,41,Male,KwaZulu-Natal,19841,2020-07-08,POL5172,Health,2019.43,Active,CLM9172,2024-05-10,"12,709.26",Rejected,No
CUST1173,45,Male,Free State,44854.38,2022-08-09,POL5173,Life,950.13,Active,CLM9173,2024-08-07,23027.18,Approved,No
CUST1174,34,female,Limpopo,"48,334.55",2021-05-10,POL5174,Auto,1464,Active,CLM9174,2024-04-13,17280.24,Approved,No
CUST1175,43,Male,North West,15371.28,2023-06-10,POL5175,Funeral,241.93,ACTIVE,CLM9175,2024-06-06,13023.24,Approved,No
CUST1176,39,Male,EC,13969.38,2021-09-27,POL5176,Motor,1609.29,Active,CLM9176,2025-03-30,16185.24,Approved,No
CUST1177,39,Female,,35659.67,2024-02-23,POL5177,Life,"1,128.85",Active,CLM9177,25-Apr-2025,55652.65, Declined ,No
CUST1178,40,Female,Eastern Cape,49686.28,2024-03-08,POL5178,Home,1622.9,active,CLM9178,2025-03-04,-1250,Approved,No
CUST1179,37,Male,Mpumalanga,4995.36,2021-04-25,POL5179,Auto,1288,Active,CLM9179,2024-04-15,12144.57,Approved,No
CUST1180,26,Female,KZN,"31,451.07",2021-11-17,POL5180,Home,1143.21,Active,CLM9180,05-30-2024,37848.01,Rejected,Yes
CUST1181,35,Female,north west,30124.61,2023-08-24,POL5181,Funeral,592.83,Active,CLM9181,2025/01/17,22237.09,APPROVED,No
CUST1182,18,Male,North West,"49,468.07",11/11/2023,POL5182,Auto,852,active,CLM9182,2025/10/27,"22,390.64",Approved,No
CUST1183,43,Male,Gauteng,28268.07,2021-09-05,POL5183,Health,2392.72,Lapsed,CLM9183,2024-05-22,4348.51,Approved,No
CUST1184,35,Male,kwazulu-natal,27990,2022-09-01,POL5184,Auto,912.36,Active,CLM9184,2025-09-15,20525.84,Approved,No
CUST1185,35,Female,Limpopo,18934.41,2023-02-06,POL5185,Health,1991.27,Active,CLM9185,2025-09-29,500.0,Approved,No
CUST1186,18,Female,Gauteng,40496.36,2022/04/30,POL5186,Life,953.57,Active,CLM9186,25/10/2024,55519.43,Rejected,Yes
CUST1187,56,Female,Western Cape,29460.98,2021-02-27,POL5187,life ,R 902.72,Active,CLM9187,2024-03-10,44782.4,Pending,No
CUST1188,48,Male,Free State,22109.33,2023/07/18,POL5188,Funeral,498.29,ACTIVE,CLM9188,2025-01-17,15917.91,Approved,No
CUST1189,33,Female,KwaZulu-Natal,26858.68,08/09/2023,POL5189,Health, 1807.66 ,Active,CLM9189,18-Aug-2025,17434.99,Approved,No
CUST1190,20,Female,North West,"R 18,514.09",2021-04-27,POL5190,Home,1808,Active,CLM9190,2025-04-20,46866.8,REJECTED,No
CUST1191,39,Male,WC,16684.28,2023-08-12,POL5191,Auto,1059.34,Active,CLM9191,2024-10-27,,Approved,No
